yearMonth,sitio,visitas_SEO,seo,seo_monetizados,seo_enviados,visitas_EMAIL,emc,emc_monetizados,emc_enviados,visitas_FB,fb,fb_monetizados,fb_enviados,visitas_GADS,gads,gads_monetizados,gads_enviados,muex,muex_monetizados,muex_enviados,visitas_TOTAL,reprocesados
2023-12-01,Buscouniversidad.com,312581,8691.0,3847.0,3455.0,3235,883.0,865.0,809.0,7655,599.0,594.0,548.0,33663,1259.0,864.0,739.0,0.0,0.0,0.0,357134,0.0
2023-12-01,CL Cursos y Carreras,39211,335.0,127.0,113.0,323,36.0,35.0,25.0,860,94.0,94.0,77.0,116,0.0,0.0,0.0,0.0,0.0,0.0,40510,0.0
2023-12-01,MX Cursos y Carreras,136175,2510.0,1244.0,1200.0,986,184.0,181.0,163.0,842,28.0,28.0,25.0,239,9.0,8.0,5.0,3063.0,3036.0,2062.0,138242,98.0
2023-12-01,CO Cursos y Carreras,205940,1513.0,288.0,274.0,1512,21.0,21.0,20.0,1764,0.0,0.0,0.0,364,0.0,0.0,0.0,0.0,0.0,0.0,209580,0.0
2023-12-01,ROLA_sitios,115688,2946.0,151.0,145.0,24,10.0,2.0,2.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,115714,0.0
